Price,Close,High,Low,Open,Volume
Ticker,ADANIGREEN.NS,ADANIGREEN.NS,ADANIGREEN.NS,ADANIGREEN.NS,ADANIGREEN.NS
Date,,,,,
2024-07-09,1756.300048828125,1815.0,1748.300048828125,1761.0,674011
2024-07-10,1755.6500244140625,1770.5999755859375,1732.1500244140625,1766.699951171875,438959
2024-07-11,1747.050048828125,1763.4000244140625,1740.0,1756.0,351498
2024-07-12,1735.25,1756.75,1729.0,1752.949951171875,365490
2024-07-15,1741.0999755859375,1749.800048828125,1726.0,1736.0,293609
2024-07-16,1759.949951171875,1820.0,1750.5,1757.949951171875,1231412
2024-07-18,1747.550048828125,1780.949951171875,1725.0,1770.0,784726
2024-07-19,1723.300048828125,1751.9000244140625,1712.5999755859375,1750.0,397349
2024-07-22,1715.25,1735.6500244140625,1700.199951171875,1723.949951171875,309254
2024-07-23,1720.300048828125,1792.0,1680.0,1750.0,2181097
2024-07-24,1716.0,1748.0,1711.300048828125,1748.0,535197
2024-07-25,1820.5,1849.949951171875,1701.0,1710.0,3002543
2024-07-26,1803.699951171875,1903.6500244140625,1788.0,1887.800048828125,2836113
2024-07-29,1836.25,1855.0,1800.0999755859375,1824.8499755859375,8946891
2024-07-30,1832.4000244140625,1876.449951171875,1824.0,1845.0,8899979
2024-07-31,1847.199951171875,1866.0,1811.25,1844.0,9922499
2024-08-01,1901.949951171875,1920.0,1843.3499755859375,1850.0,11727943
2024-08-02,1881.4000244140625,1914.800048828125,1861.1500244140625,1868.949951171875,1827128
2024-08-05,1768.75,1854.5,1760.0,1810.0,1759935
2024-08-06,1749.5999755859375,1823.0,1742.300048828125,1800.0,1125446
2024-08-07,1772.5,1791.949951171875,1763.0,1776.75,576702
2024-08-08,1778.1500244140625,1802.0999755859375,1767.050048828125,1781.4000244140625,539305
2024-08-09,1780.8499755859375,1806.0,1772.0,1800.0,392051
2024-08-12,1798.300048828125,1816.0,1667.5,1725.0,4029054
2024-08-13,1825.6500244140625,1847.4000244140625,1809.1500244140625,1816.199951171875,1303132
2024-08-14,1808.300048828125,1826.449951171875,1783.4000244140625,1800.0,815835
2024-08-16,1831.0,1840.0,1787.0,1808.300048828125,883836
2024-08-19,1898.0,1909.9000244140625,1810.199951171875,1811.0,1745998
2024-08-20,1924.5999755859375,1940.0,1880.0999755859375,1907.699951171875,1088866
2024-08-21,1920.8499755859375,1992.949951171875,1905.0,1925.0,1483458
2024-08-22,1886.3499755859375,1922.0,1870.25,1920.8499755859375,755079
2024-08-23,1900.9000244140625,1924.5,1887.5,1889.9000244140625,774782
2024-08-26,1888.9000244140625,1914.0,1875.4000244140625,1914.0,351168
2024-08-27,1886.800048828125,1909.0,1875.199951171875,1888.0,307625
2024-08-28,1861.0999755859375,1892.550048828125,1847.25,1880.0,434976
2024-08-29,1829.6500244140625,1879.199951171875,1811.5999755859375,1861.0,534410
